,class,True positives,True negatives,False positives,False negatives,Accuracy,Percision,F1 score,Recall
0,55,38,4701,1,0,0.9135,0.9744,0.987,1.0
1,73,91,4648,0,1,0.9135,1.0,0.9945,0.9891
2,83,66,4654,15,5,0.9135,0.8148,0.8684,0.9296
3,73,29,4693,4,14,0.9135,0.8788,0.7632,0.6744
4,81,39,4701,0,0,0.9135,1.0,1.0,1.0
5,55,20,4720,0,0,0.9135,1.0,1.0,1.0
6,74,43,4670,15,12,0.9135,0.7414,0.7611,0.7818
7,83,14,4704,4,18,0.9135,0.7778,0.56,0.4375
8,4,63,4648,20,9,0.9135,0.759,0.8129,0.875
9,2,2,4738,0,0,0.9135,1.0,1.0,1.0
10,36,103,4637,0,0,0.9135,1.0,1.0,1.0
11,69,2,4716,4,18,0.9135,0.3333,0.1538,0.1
12,2,9,4709,9,13,0.9135,0.5,0.45,0.4091
13,47,10,4669,51,10,0.9135,0.1639,0.2469,0.5
14,16,21,4714,1,4,0.9135,0.9545,0.8936,0.84
15,73,27,4708,4,1,0.9135,0.871,0.9153,0.9643
16,2,19,4704,11,6,0.9135,0.6333,0.6909,0.76
17,2,16,4691,19,14,0.9135,0.4571,0.4923,0.5333
18,83,8,4712,4,16,0.9135,0.6667,0.4444,0.3333
19,90,11,4715,6,8,0.9135,0.6471,0.6111,0.5789
20,76,9,4697,11,23,0.9135,0.45,0.3462,0.2812
21,73,2,4709,8,21,0.9135,0.2,0.1212,0.087
22,47,9,4726,5,0,0.9135,0.6429,0.7826,1.0
23,81,4,4720,8,8,0.9135,0.3333,0.3333,0.3333
24,83,130,4610,0,0,0.9135,1.0,1.0,1.0
25,25,35,4705,0,0,0.9135,1.0,1.0,1.0
26,46,315,4425,0,0,0.9135,1.0,1.0,1.0
27,60,34,4706,0,0,0.9135,1.0,1.0,1.0
28,2,22,4718,0,0,0.9135,1.0,1.0,1.0
29,83,63,4677,0,0,0.9135,1.0,1.0,1.0
30,2,77,4662,0,1,0.9135,1.0,0.9935,0.9872
31,8,0,4739,1,0,0.9135,0.0,0.0,0.0
32,90,0,4739,0,1,0.9135,0.0,0.0,0.0
33,35,12,4728,0,0,0.9135,1.0,1.0,1.0
34,81,2,4738,0,0,0.9135,1.0,1.0,1.0
35,81,29,4695,9,7,0.9135,0.7632,0.7838,0.8056
